Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
-180,0,-13.93214941,70.94850467,-0.594163171,124.454863
-179,0,-13.80988912,70.79919994,-0.556518787,124.3912361
-178,0,-13.71532552,70.8541272,-0.516061369,124.3556366
-177,0,-13.64829257,71.09126672,-0.473451611,124.3460322
-176,0,-13.6087501,71.48445807,-0.429604947,124.3597225
-175,0,-13.59688938,72.00465231,-0.385635216,124.3934766
-174,0,-13.61323638,72.6214594,-0.342789095,124.4436977
-173,0,-13.65873136,73.30494517,-0.3023756,124.5065997
-172,0,-13.73476855,74.02761459,-0.265694923,124.5783822
-171,0,-13.8431871,74.7665123,-0.233970406,124.6553919
-170,0,-13.98621231,75.50538432,-0.208286908,124.7342631
-169,0,-14.16635104,76.23688002,-0.189538079,124.8120323
-168,0,-14.38624636,76.96482344,-0.178384405,124.8862244
-167,0,-14.64848967,77.70663729,-0.175223264,124.9549124
-166,0,-14.95537321,78.49604478,-0.18017176,125.0167493
-165,0,-15.30853815,79.38618023,-0.1930627,125.070976
-164,0,-15.70842876,80.45316356,-0.213453773,125.117406
-163,0,-16.15339698,81.79993687,-0.240649691,125.1563874
-162,0,-16.63821366,83.55950525,-0.273736726,125.1887436
-161,0,-17.15166309,85.89524715,-0.311628667,125.2156937
-160,0,-17.67294588,88.99304506,-0.353122678,125.2387528
-159,0,-18.16713078,93.03544308,-0.396962946,125.2596154
-158,0,-18.58150295,98.14467531,-0.441909311,125.2800264
-157,0,-18.84763607,104.2902186,-0.486807413,125.3016443
-156,0,-18.89580702,111.1947733,-0.530656387,125.3259075
-155,0,-18.68182276,118.3267506,-0.572669874,125.3539108
-154,0,-18.21021404,125.0474295,-0.612326203,125.3863043
-153,0,-17.53291142,130.8366898,-0.649404127,125.4232233
-152,0,-16.72462161,135.4282693,-0.684001398,125.4642566
-151,0,-15.85650314,138.7922246,-0.716534719,125.5084578
-150,0,-14.98286424,141.0397011,-0.747721048,125.5543988
-149,0,-14.13979135,142.3345656,-0.778541624,125.600262
-148,0,-13.34902935,142.8411708,-0.810191368,125.6439644
-147,0,-12.62254551,142.7021193,-0.844017186,125.6833039
-146,0,-11.96610272,142.0328324,-0.881449253,125.7161177
-145,0,-11.38165667,140.9235067,-0.92392941,125.7404453
-144,0,-10.86884957,139.4435172,-0.972840561,125.754686
-143,0,-10.42590764,137.646108,-1.029440436,125.7577475
-142,0,-10.0501734,135.5725962,-1.094802417,125.7491799
-141,0,-9.738425033,133.2559054,-1.16976546,125.7292926
-140,0,-9.487078095,130.723468,-1.254894544,125.6992517
-139,0,-9.292327971,127.9995864,-1.350452544,125.6611557
-138,0,-9.150268012,125.1073344,-1.456384119,125.6180835
-137,0,-9.057003109,122.070048,-1.572311866,125.5741104
-136,0,-9.008767376,118.912425,-1.697544849,125.534284
-135,0,-9.002045735,115.6612316,-1.831099376,125.5045511
-134,0,-9.033691843,112.3456102,-1.971731708,125.491627
-133,0,-9.101029044,108.9969937,-2.117982046,125.5027987
-132,0,-9.201917847,105.6486641,-2.268228827,125.5456601
-131,0,-9.334773429,102.3350227,-2.420751829,125.6277783
-130,0,-9.498520116,99.09067419,-2.573802165,125.756304
-129,0,-9.692476056,95.94943666,-2.725676652,125.9375432
-128,0,-9.916168808,92.94338079,-2.874793591,126.17652
-127,0,-10.16908981,90.10196244,-3.019766489,126.4765669
-126,0,-10.45040133,87.45125849,-3.159471911,126.8389832
-125,0,-10.7586137,85.013252,-3.29310741,127.2628001
-124,0,-11.09125444,82.8050582,-3.420235456,127.744685
-123,0,-11.44455597,80.83795063,-3.540809617,128.2790037
-122,0,-11.81319753,79.11605507,-3.65517997,128.8580407
-121,0,-12.1901485,77.63464788,-3.76407596,129.4723635
-120,0,-12.56667265,76.37814369,-3.868566524,130.1112965
-119,0,-12.93255716,75.31809186,-3.969999243,130.7634636
-118,0,-13.27661532,74.41178556,-4.069922096,131.4173528
-117,0,-13.58746545,73.6023157,-4.169992984,132.0618617
-116,0,-13.8545128,72.82089975,-4.271883141,132.6867892
-115,0,-14.06897628,71.991917,-4.377180878,133.2832562
-114,0,-14.22475316,71.04028166,-4.487301769,133.8440443
-113,0,-14.31893939,69.89985454,-4.603410556,134.3638571
-112,0,-14.35192352,68.52099736,-4.726358991,134.839511
-111,0,-14.32709896,66.87547585,-4.856642679,135.2700663
-110,0,-14.2503261,64.95770544,-4.994378858,135.6569056
-109,0,-14.12928957,62.78241895,-5.13930609,136.0037623
-108,0,-13.97285282,60.37974019,-5.290805855,136.3166924
-107,0,-13.79045767,57.78907602,-5.447945053,136.6039792
-106,0,-13.59158169,55.05317515,-5.609537368,136.8759541
-105,0,-13.38525814,52.21330988,-5.774220227,137.1447143
-104,0,-13.17966732,49.30603629,-5.940542929,137.4237249
-103,0,-12.981811,46.36155282,-6.107060468,137.727302
-102,0,-12.797278,43.40339527,-6.272426956,138.0699852
-101,0,-12.63010065,40.44908831,-6.435482552,138.4658287
-100,0,-12.48269395,37.51137692,-6.595328458,138.9276551
-99,0,-12.35586555,34.59972909,-6.751385885,139.4663296
-98,0,-12.24888511,31.72188347,-6.903436497,140.0901182
-97,0,-12.15960526,28.88528362,-7.051643514,140.8041888
-96,0,-12.084631,26.09828185,-7.196553928,141.6103045
-95,0,-12.01953712,23.37101408,-7.339083009,142.5067327
-94,0,-11.95913374,20.71585453,-7.48048251,143.488377
-93,0,-11.89777625,18.14737073,-7.622293835,144.5471076
-92,0,-11.82970951,15.68173263,-7.766287281,145.6722536
-91,0,-11.74942792,13.33559232,-7.914388398,146.8512026
-90,0,-11.65202591,11.12454224,-8.068592838,148.0700539
-89,0,-11.53350969,9.061358934,-8.230871477,149.3142735
-88,0,-11.39104296,7.154316925,-8.403068245,150.5693124
-87,0,-11.22310511,5.405879194,-8.586793572,151.8211633
-86,0,-11.02955046,3.812018226,-8.783316857,153.0568492
-85,0,-10.81156733,2.362301992,-8.993461665,154.264852
-84,0,-10.57154537,1.040724414,-9.217507843,155.4354996
-83,0,-10.31286739,-0.172883827,-9.455105385,156.5613375
-82,0,-10.03964814,-1.301120505,-9.705205908,157.6375081
-81,0,-9.756445363,-2.367230767,-9.966018996,158.6621546
-80,0,-9.467969313,-3.393513863,-10.23500218,159.6368475
-79,0,-9.178813704,-4.400068429,-10.50889437,160.5670093
-78,0,-8.893225786,-5.403934702,-10.78380259,161.46228
-77,0,-8.614926065,-6.418615474,-11.05534939,162.3367381
-76,0,-8.346981248,-7.453909518,-11.31888326,163.2088644
-75,0,-8.091728312,-8.5159725,-11.56974578,164.101137
-74,0,-7.850743895,-9.607524293,-11.80357899,165.0391728
-73,0,-7.624851496,-10.72813893,-12.0166457,166.0503999
-72,0,-7.414158793,-11.87457574,-12.20612895,167.1623449
