freq[MHz],db:Trc1_S21,ang:Trc1_S21,db:Trc2_S31,ang:Trc2_S31,db:Trc3_S41,ang:Trc3_S41,db:Trc4_S11,ang:Trc4_S11,db:Mem5[Trc3]_S41,ang:Mem5[Trc3]_S41
50,-9.347072149186522E+000,-3.684828145326649E+000,-8.950439977899174E+000,-3.901193860022804E+001,-8.191794879427535E+000,-7.059084457690646E+001,-4.184619414442016E+000,1.753309555040824E+002,-8.008543010864948E+000,-1.007086788343085E+002
51,-8.970402478725051E+000,-2.782814895664049E+000,-9.019223070053114E+000,-4.025048808751660E+001,-8.210806109024878E+000,-6.904813905730600E+001,-4.066525623822986E+000,1.767951913866921E+002,-8.113180267594553E+000,-9.983724360868430E+001
52,-9.098790917891673E+000,-1.542122975920874E+000,-8.754540564080697E+000,-4.161556125146858E+001,-8.229508453614312E+000,-7.080256353239334E+001,-4.140561996464523E+000,1.754490661129713E+002,-8.030109604137598E+000,-1.021734621247804E+002
53,-9.180766500395745E+000,-2.994959718136449E+000,-8.782555466581767E+000,-3.975386026528658E+001,-7.921346082766571E+000,-7.264991320623129E+001,-3.913501098565063E+000,1.741463711992481E+002,-7.717664069191568E+000,-1.064181944761372E+002
54,-8.918058529758881E+000,-3.028990201226950E+000,-8.636382658662338E+000,-4.028087464910117E+001,-8.263707535324453E+000,-7.444557035669804E+001,-3.760130223010231E+000,1.750604668897969E+002,-8.117707093282602E+000,-1.067163290112688E+002
55,-8.999962593058468E+000,-2.639485458956774E+000,-8.957310847113098E+000,-4.046661018158657E+001,-8.192067894124371E+000,-7.494649487174979E+001,-4.044106073255478E+000,1.752402670831774E+002,-8.059070300715316E+000,-1.079597631204771E+002
56,-9.183932124836396E+000,7.038745048616704E-001,-9.246128907228007E+000,-4.331642412471346E+001,-8.418632050834273E+000,-7.561483967709094E+001,-4.000957580121554E+000,1.751086052874216E+002,-7.969956902915414E+000,-1.097831312896949E+002
57,-9.094894629564235E+000,-2.875329127950904E+000,-9.218966544581052E+000,-4.339246097385281E+001,-8.649040905587240E+000,-7.737473445247915E+001,-4.014954368353961E+000,1.751047628073163E+002,-8.268870289951718E+000,-1.112540929197339E+002
58,-8.970575126173159E+000,-4.834062321664038E-001,-8.925916546044137E+000,-4.404631839213866E+001,-7.969814952549098E+000,-8.001325992908842E+001,-4.008432846841353E+000,1.745818286844335E+002,-7.717767759873949E+000,-1.153427836180630E+002
59,-9.232319094101026E+000,-7.147058348803681E-001,-8.674602432073710E+000,-4.719220739850069E+001,-8.490472549305956E+000,-8.184362726377451E+001,-4.091895161135374E+000,1.741550775095998E+002,-8.114909895466699E+000,-1.159837257170939E+002
60,-9.019133431733275E+000,-1.732568455915009E+000,-9.092849650539668E+000,-4.697985377860022E+001,-8.674839590860568E+000,-8.191801930813195E+001,-4.005908359220894E+000,1.744866187442133E+002,-8.245710921959427E+000,-1.170000218517242E+002
61,-8.936796804123448E+000,1.168831749870867E-001,-9.065472141191316E+000,-4.790118132586213E+001,-8.772861537899194E+000,-8.322111950947165E+001,-4.012242832739206E+000,1.728979834469082E+002,-8.070570285494588E+000,-1.202516683568878E+002
62,-8.891167436400680E+000,-6.842432441219845E-001,-9.220426594947181E+000,-4.769615924559643E+001,-8.401945839930489E+000,-8.578212414829996E+001,-3.940344224117148E+000,1.733633682136912E+002,-7.891406440458525E+000,-1.230123731683981E+002
63,-8.626345931211407E+000,-8.139613940547112E-001,-8.863443009038990E+000,-4.849129479918238E+001,-8.274786384487081E+000,-8.628385639528442E+001,-4.096582723389690E+000,1.728609348058257E+002,-8.015665642962519E+000,-1.255832059631362E+002
64,-9.107587182943506E+000,-3.727515321070379E-001,-9.001700241988360E+000,-4.664195531027089E+001,-8.246314483400441E+000,-8.934820332501889E+001,-4.020725875745779E+000,1.729495881785462E+002,-7.777935398230614E+000,-1.281751203040784E+002
65,-8.717638599898557E+000,2.623142907704581E-001,-8.906218290866752E+000,-4.762346431579212E+001,-8.069272512187142E+000,-9.002859731096737E+001,-3.991052314980769E+000,1.736773457331748E+002,-7.727181377095621E+000,-1.308932160971293E+002
66,-8.825892756778538E+000,-4.451812965313184E-001,-8.971671584693091E+000,-5.004015927649357E+001,-8.288634445061366E+000,-9.076701537472748E+001,-4.177561882389392E+000,1.731790726909165E+002,-7.912190383571372E+000,-1.311776976618718E+002
67,-8.757928192576930E+000,-4.615472188559513E-001,-9.067163667732771E+000,-4.959959116708182E+001,-8.460800539336432E+000,-9.211130658167031E+001,-4.114003004837275E+000,1.724591931376525E+002,-7.998360226790325E+000,-1.326084810760267E+002
68,-8.891755028186944E+000,-2.897478447200470E-001,-9.164058978294140E+000,-5.068072834029456E+001,-8.160287445800536E+000,-9.343877602078300E+001,-4.333631109201981E+000,1.725556393546968E+002,-7.738120032151601E+000,-1.353412514606301E+002
69,-8.519153423013053E+000,6.328159095475117E-001,-8.927663310105423E+000,-5.130832514992812E+001,-8.646611754907626E+000,-9.486530681712395E+001,-3.961433084833002E+000,1.735886474074788E+002,-8.085628220861548E+000,-1.360619193964555E+002
70,-8.995833217149924E+000,-1.160464930751071E-001,-9.085271810732786E+000,-5.092104441993256E+001,-8.328112876645795E+000,-9.680490784650273E+001,-4.338169979496047E+000,1.733983733211500E+002,-7.802254835443198E+000,-1.395794315041662E+002
71,-8.595415856389369E+000,1.420242002466247E+000,-8.837133427562730E+000,-5.206552530789018E+001,-8.414644266117744E+000,-9.660468523160749E+001,-4.210016478428358E+000,1.730725531394496E+002,-7.914496990228532E+000,-1.412593455423319E+002
72,-8.725542100875824E+000,2.724040117522967E-001,-9.021555413326158E+000,-5.368113979830001E+001,-8.309233876166031E+000,-1.002089316622147E+002,-4.332265598040648E+000,1.715193184443447E+002,-7.816417586612155E+000,-1.447294600068809E+002
73,-8.855621774048275E+000,1.986358402391896E-001,-9.065238888552647E+000,-5.305985091562707E+001,-8.327662979450629E+000,-9.965992743493750E+001,-4.285432321342939E+000,1.730796985928935E+002,-7.750940068862059E+000,-1.445234765055037E+002
74,-8.544155028603408E+000,3.549568137354141E-001,-9.138248424314154E+000,-5.399093021519681E+001,-8.427769993613588E+000,-1.019355372344306E+002,-4.318392128590676E+000,1.726905353791489E+002,-7.824344516729358E+000,-1.477704287016670E+002
75,-8.779174318235883E+000,-1.828153893847985E-001,-8.861685491003874E+000,-5.385763131863794E+001,-8.448396266971782E+000,-1.034468364003668E+002,-4.340518096348556E+000,1.720403647396234E+002,-7.936669307529885E+000,-1.499134300638995E+002
76,-8.670053055244816E+000,-2.872771473459708E-001,-9.060622245770734E+000,-5.376700192361375E+001,-8.357974159654033E+000,-1.044375295563161E+002,-4.292275375056494E+000,1.717879545464978E+002,-7.620232230441560E+000,-1.517249232815458E+002
77,-8.768234974153872E+000,-1.014120300520244E+000,-9.043453470868343E+000,-5.470161458559725E+001,-8.737529061419924E+000,-1.068958601562112E+002,-4.196391932780193E+000,1.721948800352984E+002,-7.920712838503645E+000,-1.529335074330324E+002
78,-8.560511206432709E+000,-3.655987243455411E-001,-8.806573472342025E+000,-5.584463173722820E+001,-8.308304873795219E+000,-1.079858255404718E+002,-4.274175851192048E+000,1.705036593896487E+002,-7.692141196979703E+000,-1.569146802822649E+002
79,-8.417563003188226E+000,-7.293119491150689E-001,-8.889776470605108E+000,-5.704241951266408E+001,-8.301425931661326E+000,-1.097074010592607E+002,-4.362490973616996E+000,1.713774334361036E+002,-7.758916026368601E+000,-1.592856204278180E+002
80,-8.516238028385377E+000,-1.304570842105656E+000,-8.875097320972058E+000,-5.780880483183132E+001,-8.363402320119008E+000,-1.113166502600062E+002,-4.285754905410043E+000,1.723697289260109E+002,-7.852983132291763E+000,-1.600442361191051E+002
81,-8.389685264870828E+000,-8.847073117776250E-001,-9.103324160231695E+000,-5.916920475524675E+001,-8.423028064435796E+000,-1.115789168627920E+002,-4.331734960642454E+000,1.709152297277499E+002,-7.641707984843604E+000,-1.618696537547218E+002
82,-8.437044042703946E+000,-1.297937388737574E+000,-8.806036348796317E+000,-5.748567459891948E+001,-8.310960748535756E+000,-1.118429486869432E+002,-4.447869102714932E+000,1.708506928217290E+002,-7.556981862483379E+000,-1.647722983942278E+002
83,-8.405623116690032E+000,-2.413949124438830E+000,-9.024109711155512E+000,-6.003613339383402E+001,-8.429876539945836E+000,-1.148748382890626E+002,-4.528029128293027E+000,1.717887602973333E+002,-7.701140153050482E+000,-1.663685722715974E+002
84,-8.086120174572459E+000,-4.279391647562344E-001,-8.933552083809376E+000,-6.188716643001692E+001,-8.525008276439820E+000,-1.150232771028522E+002,-4.515327723953033E+000,1.717228823331165E+002,-7.886866445591614E+000,-1.684619372852105E+002
85,-8.474915350126606E+000,-1.566471142552165E+000,-9.062031117061796E+000,-6.005919957528419E+001,-8.515865521232540E+000,-1.164288689210337E+002,-4.488311633292264E+000,1.704663941589029E+002,-7.603069541120881E+000,-1.707403210906218E+002
86,-8.284079040389283E+000,-1.291345792060072E+000,-8.935418266793580E+000,-6.237462359985391E+001,-8.558525970092347E+000,-1.190829418046867E+002,-4.541245787487535E+000,1.718437013207971E+002,-7.757847423701446E+000,-1.723397430822259E+002
87,-8.285983146856303E+000,-9.359857836242580E-001,-8.901710883937163E+000,-6.186673662130273E+001,-8.682759519555502E+000,-1.211250289984614E+002,-4.435127580696556E+000,1.724562814455159E+002,-7.903238593784467E+000,-1.754143930067550E+002
88,-8.330074486614910E+000,-1.608587005222806E+000,-8.929011609010697E+000,-6.201772802114289E+001,-8.512353801432230E+000,-1.207196125342007E+002,-4.526034666537393E+000,1.715721971012735E+002,-7.689770548016887E+000,-1.776751777291727E+002
89,-8.216072901047474E+000,-3.431057393975605E+000,-8.968318310351943E+000,-6.399057526130574E+001,-8.682308394846368E+000,-1.228408497634735E+002,-4.578220872609015E+000,1.709641897378398E+002,-7.902089338910010E+000,-1.794966725560812E+002
90,-8.317276548317354E+000,-4.435365596014584E+000,-9.063867260532510E+000,-6.403278969602620E+001,-8.398802406993404E+000,-1.234991375015497E+002,-4.726546038325210E+000,1.710822286112430E+002,-7.692775061901345E+000,1.781035876629637E+002
91,-8.408943505301339E+000,-2.410181186974577E+000,-8.938060479503360E+000,-6.454415007521483E+001,-8.598254018982741E+000,-1.250014318765592E+002,-4.631593996392769E+000,1.715224735915231E+002,-7.606632722829159E+000,1.768984150045375E+002
92,-8.343369257036464E+000,-2.219386315978539E+000,-8.792033707776694E+000,-6.377508301570781E+001,-8.766848644824510E+000,-1.261192545719866E+002,-4.542649913580677E+000,1.718473355687702E+002,-7.799974600368189E+000,1.749325283369772E+002
