Freq,S11_MAG,S11_PHASE,S21_MAG,S21_PHASE,S12_MAG,S12_PHASE,22_MAG,S22_PHASE
100000000,-4.476862,-158.88048,-200,45,-200,45,-200,45
100062500,-4.5260658,-159.83795,-200,45,-200,45,-200,45
100125000,-4.5738969,-160.7966,-200,45,-200,45,-200,45
100187500,-4.6251497,-161.74533,-200,45,-200,45,-200,45
100250000,-4.6777058,-162.71846,-200,45,-200,45,-200,45
100312500,-4.7303576,-163.71298,-200,45,-200,45,-200,45
100375000,-4.7856984,-164.70453,-200,45,-200,45,-200,45
100437500,-4.8377004,-165.70589,-200,45,-200,45,-200,45
100500000,-4.8941054,-166.70924,-200,45,-200,45,-200,45
100562500,-4.9497075,-167.74236,-200,45,-200,45,-200,45
100625000,-5.0037193,-168.76605,-200,45,-200,45,-200,45
100687500,-5.0588484,-169.81706,-200,45,-200,45,-200,45
100750000,-5.1189198,-170.87347,-200,45,-200,45,-200,45
100812500,-5.1741409,-171.95319,-200,45,-200,45,-200,45
100875000,-5.235096,-173.04797,-200,45,-200,45,-200,45
100937500,-5.2955637,-174.12654,-200,45,-200,45,-200,45
101000000,-5.3541517,-175.25633,-200,45,-200,45,-200,45
101062500,-5.417769,-176.37491,-200,45,-200,45,-200,45
101125000,-5.47966,-177.51984,-200,45,-200,45,-200,45
101187500,-5.5460844,-178.67505,-200,45,-200,45,-200,45
101250000,-5.606894,-179.85118,-200,45,-200,45,-200,45
101312500,-5.6756186,178.97499,-200,45,-200,45,-200,45
101375000,-5.7402344,177.7729,-200,45,-200,45,-200,45
101437500,-5.8089867,176.55368,-200,45,-200,45,-200,45
101500000,-5.8795404,175.32161,-200,45,-200,45,-200,45
101562500,-5.9498744,174.08478,-200,45,-200,45,-200,45
101625000,-6.0207014,172.83676,-200,45,-200,45,-200,45
101687500,-6.0945053,171.57004,-200,45,-200,45,-200,45
101750000,-6.1672406,170.26337,-200,45,-200,45,-200,45
101812500,-6.240633,168.95639,-200,45,-200,45,-200,45
101875000,-6.3159714,167.63692,-200,45,-200,45,-200,45
101937500,-6.3916497,166.29077,-200,45,-200,45,-200,45
102000000,-6.4672666,164.93381,-200,45,-200,45,-200,45
102062500,-6.5431719,163.57321,-200,45,-200,45,-200,45
102125000,-6.6227121,162.17926,-200,45,-200,45,-200,45
102187500,-6.6988463,160.76518,-200,45,-200,45,-200,45
102250000,-6.7777224,159.35007,-200,45,-200,45,-200,45
102312500,-6.8533392,157.88097,-200,45,-200,45,-200,45
102375000,-6.9326401,156.41264,-200,45,-200,45,-200,45
102437500,-7.0079985,154.89853,-200,45,-200,45,-200,45
102500000,-7.085423,153.36568,-200,45,-200,45,-200,45
102562500,-7.1628742,151.80139,-200,45,-200,45,-200,45
102625000,-7.2458167,150.18448,-200,45,-200,45,-200,45
102687500,-7.3230724,148.5746,-200,45,-200,45,-200,45
102750000,-7.4068217,146.93384,-200,45,-200,45,-200,45
102812500,-7.4898024,145.23192,-200,45,-200,45,-200,45
102875000,-7.5759506,143.52496,-200,45,-200,45,-200,45
102937500,-7.6652255,141.80566,-200,45,-200,45,-200,45
103000000,-7.752121,139.99057,-200,45,-200,45,-200,45
103062500,-7.8405461,138.2756,-200,45,-200,45,-200,45
103125000,-7.9312177,136.48351,-200,45,-200,45,-200,45
103187500,-8.0164471,134.67299,-200,45,-200,45,-200,45
103250000,-8.1027393,132.8259,-200,45,-200,45,-200,45
103312500,-8.190134,130.94402,-200,45,-200,45,-200,45
103375000,-8.2742863,129.0228,-200,45,-200,45,-200,45
103437500,-8.3623886,127.09383,-200,45,-200,45,-200,45
103500000,-8.4439049,125.15644,-200,45,-200,45,-200,45
103562500,-8.5373564,123.15205,-200,45,-200,45,-200,45
103625000,-8.6204691,121.15103,-200,45,-200,45,-200,45
103687500,-8.7060432,119.11879,-200,45,-200,45,-200,45
103750000,-8.7932453,117.04671,-200,45,-200,45,-200,45
103812500,-8.8748722,115.00386,-200,45,-200,45,-200,45
103875000,-8.9474754,112.86497,-200,45,-200,45,-200,45
103937500,-9.0286999,110.73801,-200,45,-200,45,-200,45
104000000,-9.1025887,108.5785,-200,45,-200,45,-200,45
104062500,-9.1780424,106.40544,-200,45,-200,45,-200,45
104125000,-9.2481785,104.19032,-200,45,-200,45,-200,45
104187500,-9.3197699,101.97185,-200,45,-200,45,-200,45
104250000,-9.3884592,99.701637,-200,45,-200,45,-200,45
104312500,-9.4593811,97.453636,-200,45,-200,45,-200,45
104375000,-9.5178299,95.1595,-200,45,-200,45,-200,45
104437500,-9.5846958,92.843216,-200,45,-200,45,-200,45
104500000,-9.6435966,90.559845,-200,45,-200,45,-200,45
104562500,-9.7003136,88.260895,-200,45,-200,45,-200,45
104625000,-9.7512894,85.951248,-200,45,-200,45,-200,45
104687500,-9.7980919,83.638535,-200,45,-200,45,-200,45
104750000,-9.8385382,81.33165,-200,45,-200,45,-200,45
104812500,-9.8765869,78.995575,-200,45,-200,45,-200,45
104875000,-9.9070644,76.683357,-200,45,-200,45,-200,45
104937500,-9.9355583,74.353371,-200,45,-200,45,-200,45
105000000,-9.9614992,71.993103,-200,45,-200,45,-200,45
105062500,-9.9755697,69.715797,-200,45,-200,45,-200,45
105125000,-9.9844484,67.364845,-200,45,-200,45,-200,45
105187500,-9.9879007,65.051254,-200,45,-200,45,-200,45
105250000,-9.9875774,62.770832,-200,45,-200,45,-200,45
105312500,-9.985981,60.446716,-200,45,-200,45,-200,45
105375000,-9.9774389,58.113449,-200,45,-200,45,-200,45
105437500,-9.9669399,55.823654,-200,45,-200,45,-200,45
105500000,-9.95329,53.515656,-200,45,-200,45,-200,45
105562500,-9.9290237,51.26955,-200,45,-200,45,-200,45
105625000,-9.9011431,49.00967,-200,45,-200,45,-200,45
105687500,-9.8702288,46.791908,-200,45,-200,45,-200,45
105750000,-9.8344355,44.563305,-200,45,-200,45,-200,45
105812500,-9.7970276,42.345371,-200,45,-200,45,-200,45
105875000,-9.7535381,40.111897,-200,45,-200,45,-200,45
105937500,-9.7127075,37.940552,-200,45,-200,45,-200,45
106000000,-9.6660585,35.745087,-200,45,-200,45,-200,45
106062500,-9.6190739,33.636047,-200,45,-200,45,-200,45
106125000,-9.5684671,31.510887,-200,45,-200,45,-200,45
106187500,-9.5152092,29.405214,-200,45,-200,45,-200,45
106250000,-9.4636497,27.343382,-200,45,-200,45,-200,45
106312500,-9.4076881,25.310625,-200,45,-200,45,-200,45
106375000,-9.3519583,23.27618,-200,45,-200,45,-200,45
106437500,-9.2946653,21.28945,-200,45,-200,45,-200,45
106500000,-9.2342052,19.333187,-200,45,-200,45,-200,45
106562500,-9.1720409,17.426643,-200,45,-200,45,-200,45
106625000,-9.1066837,15.512143,-200,45,-200,45,-200,45
106687500,-9.0470972,13.626106,-200,45,-200,45,-200,45
106750000,-8.9736729,11.764206,-200,45,-200,45,-200,45
106812500,-8.9037342,9.9158478,-200,45,-200,45,-200,45
106875000,-8.8355789,8.08922,-200,45,-200,45,-200,45
106937500,-8.7661324,6.24015,-200,45,-200,45,-200,45
107000000,-8.6984568,4.4238062,-200,45,-200,45,-200,45
107062500,-8.6345663,2.6540318,-200,45,-200,45,-200,45
107125000,-8.5738907,0.88807255,-200,45,-200,45,-200,45
107187500,-8.5162058,-0.85790783,-200,45,-200,45,-200,45
107250000,-8.4526529,-2.5354598,-200,45,-200,45,-200,45
107312500,-8.3992386,-4.1834707,-200,45,-200,45,-200,45
107375000,-8.3432884,-5.7991743,-200,45,-200,45,-200,45
107437500,-8.2823019,-7.3464203,-200,45,-200,45,-200,45
107500000,-8.2281713,-8.8703632,-200,45,-200,45,-200,45
107562500,-8.1669397,-10.373556,-200,45,-200,45,-200,45
107625000,-8.1052313,-11.827962,-200,45,-200,45,-200,45
107687500,-8.0404463,-13.279106,-200,45,-200,45,-200,45
107750000,-7.9740095,-14.701298,-200,45,-200,45,-200,45
107812500,-7.9049883,-16.115709,-200,45,-200,45,-200,45
107875000,-7.8362713,-17.512405,-200,45,-200,45,-200,45
107937500,-7.7654872,-18.936562,-200,45,-200,45,-200,45
108000000,-7.6966481,-20.31389,-200,45,-200,45,-200,45
108062500,-7.6277413,-21.71236,-200,45,-200,45,-200,45
108125000,-7.5602784,-23.108253,-200,45,-200,45,-200,45
108187500,-7.4911857,-24.487085,-200,45,-200,45,-200,45
108250000,-7.4257565,-25.847832,-200,45,-200,45,-200,45
108312500,-7.361063,-27.236145,-200,45,-200,45,-200,45
108375000,-7.3013015,-28.571562,-200,45,-200,45,-200,45
108437500,-7.2411857,-29.911785,-200,45,-200,45,-200,45
108500000,-7.1772194,-31.238482,-200,45,-200,45,-200,45
108562500,-7.1222744,-32.551918,-200,45,-200,45,-200,45
108625000,-7.0663366,-33.842308,-200,45,-200,45,-200,45
108687500,-7.0122151,-35.143845,-200,45,-200,45,-200,45
108750000,-6.9592824,-36.422531,-200,45,-200,45,-200,45
108812500,-6.906148,-37.692448,-200,45,-200,45,-200,45
108875000,-6.8572917,-38.955017,-200,45,-200,45,-200,45
108937500,-6.8064032,-40.187958,-200,45,-200,45,-200,45
109000000,-6.7600288,-41.432205,-200,45,-200,45,-200,45
109062500,-6.7158122,-42.674213,-200,45,-200,45,-200,45
109125000,-6.6694498,-43.881603,-200,45,-200,45,-200,45
109187500,-6.6269341,-45.094543,-200,45,-200,45,-200,45
109250000,-6.5869074,-46.285278,-200,45,-200,45,-200,45
109312500,-6.5534816,-47.468151,-200,45,-200,45,-200,45
109375000,-6.516284,-48.646141,-200,45,-200,45,-200,45
109437500,-6.4816852,-49.785847,-200,45,-200,45,-200,45
109500000,-6.4492354,-50.931103,-200,45,-200,45,-200,45
109562500,-6.4157901,-52.057934,-200,45,-200,45,-200,45
109625000,-6.3916044,-53.16013,-200,45,-200,45,-200,45
109687500,-6.3615241,-54.255096,-200,45,-200,45,-200,45
109750000,-6.3348751,-55.31168,-200,45,-200,45,-200,45
109812500,-6.30937,-56.333126,-200,45,-200,45,-200,45
109875000,-6.2831879,-57.37656,-200,45,-200,45,-200,45
109937500,-6.2545977,-58.381554,-200,45,-200,45,-200,45
110000000,-6.2273979,-59.361824,-200,45,-200,45,-200,45
110062500,-6.1964555,-60.347809,-200,45,-200,45,-200,45
110125000,-6.166872,-61.320709,-200,45,-200,45,-200,45
110187500,-6.135941,-62.292645,-200,45,-200,45,-200,45
110250000,-6.0990396,-63.261261,-200,45,-200,45,-200,45
110312500,-6.0651503,-64.249512,-200,45,-200,45,-200,45
110375000,-6.033525,-65.216637,-200,45,-200,45,-200,45
110437500,-6.0029144,-66.202492,-200,45,-200,45,-200,45
110500000,-5.9714823,-67.191803,-200,45,-200,45,-200,45
110562500,-5.9390693,-68.174881,-200,45,-200,45,-200,45
110625000,-5.9125419,-69.167839,-200,45,-200,45,-200,45
110687500,-5.8835344,-70.1446,-200,45,-200,45,-200,45
110750000,-5.8582182,-71.118912,-200,45,-200,45,-200,45
110812500,-5.83184,-72.106476,-200,45,-200,45,-200,45
110875000,-5.806129,-73.072586,-200,45,-200,45,-200,45
110937500,-5.7840824,-74.024536,-200,45,-200,45,-200,45
111000000,-5.7605085,-74.991219,-200,45,-200,45,-200,45
111062500,-5.7376976,-75.970985,-200,45,-200,45,-200,45
111125000,-5.7176585,-76.934349,-200,45,-200,45,-200,45
111187500,-5.6981273,-77.914948,-200,45,-200,45,-200,45
111250000,-5.6789694,-78.894211,-200,45,-200,45,-200,45
111312500,-5.6642985,-79.8666,-200,45,-200,45,-200,45
111375000,-5.6457291,-80.850723,-200,45,-200,45,-200,45
111437500,-5.6341491,-81.819344,-200,45,-200,45,-200,45
111500000,-5.6242075,-82.778282,-200,45,-200,45,-200,45
111562500,-5.6165738,-83.727089,-200,45,-200,45,-200,45
111625000,-5.6135402,-84.680931,-200,45,-200,45,-200,45
111687500,-5.609632,-85.609734,-200,45,-200,45,-200,45
111750000,-5.6073923,-86.526855,-200,45,-200,45,-200,45
111812500,-5.6070099,-87.417534,-200,45,-200,45,-200,45
111875000,-5.6033463,-88.312851,-200,45,-200,45,-200,45
111937500,-5.6013565,-89.172081,-200,45,-200,45,-200,45
112000000,-5.6019659,-90.050079,-200,45,-200,45,-200,45
112062500,-5.597424,-90.904205,-200,45,-200,45,-200,45
112125000,-5.5915933,-91.759415,-200,45,-200,45,-200,45
112187500,-5.5893817,-92.606026,-200,45,-200,45,-200,45
112250000,-5.5832167,-93.459671,-200,45,-200,45,-200,45
112312500,-5.578012,-94.322548,-200,45,-200,45,-200,45
112375000,-5.5740361,-95.168419,-200,45,-200,45,-200,45
112437500,-5.5746484,-96.026253,-200,45,-200,45,-200,45
112500000,-5.5668573,-96.877068,-200,45,-200,45,-200,45
112562500,-5.5650091,-97.724136,-200,45,-200,45,-200,45
112625000,-5.5643539,-98.56411,-200,45,-200,45,-200,45
112687500,-5.5611753,-99.398224,-200,45,-200,45,-200,45
112750000,-5.5581417,-100.24234,-200,45,-200,45,-200,45
112812500,-5.5568118,-101.05943,-200,45,-200,45,-200,45
112875000,-5.5544839,-101.89699,-200,45,-200,45,-200,45
112937500,-5.5513563,-102.7374,-200,45,-200,45,-200,45
113000000,-5.5495591,-103.58019,-200,45,-200,45,-200,45
113062500,-5.5440197,-104.40199,-200,45,-200,45,-200,45
113125000,-5.5424542,-105.26048,-200,45,-200,45,-200,45
113187500,-5.5404038,-106.10847,-200,45,-200,45,-200,45
113250000,-5.5369329,-106.99577,-200,45,-200,45,-200,45
113312500,-5.5360985,-107.84911,-200,45,-200,45,-200,45
113375000,-5.537003,-108.75387,-200,45,-200,45,-200,45
113437500,-5.541626,-109.62067,-200,45,-200,45,-200,45
113500000,-5.5489254,-110.49838,-200,45,-200,45,-200,45
113562500,-5.555697,-111.37998,-200,45,-200,45,-200,45
113625000,-5.5651083,-112.24345,-200,45,-200,45,-200,45
113687500,-5.5794373,-113.11292,-200,45,-200,45,-200,45
113750000,-5.591217,-113.95054,-200,45,-200,45,-200,45
113812500,-5.6013889,-114.79606,-200,45,-200,45,-200,45
113875000,-5.6166086,-115.62659,-200,45,-200,45,-200,45
113937500,-5.6268702,-116.45511,-200,45,-200,45,-200,45
114000000,-5.6402693,-117.26334,-200,45,-200,45,-200,45
114062500,-5.6515718,-118.10094,-200,45,-200,45,-200,45
114125000,-5.6626563,-118.93299,-200,45,-200,45,-200,45
114187500,-5.6749811,-119.77322,-200,45,-200,45,-200,45
114250000,-5.6877327,-120.61716,-200,45,-200,45,-200,45
114312500,-5.7013292,-121.47046,-200,45,-200,45,-200,45
114375000,-5.7173891,-122.3104,-200,45,-200,45,-200,45
114437500,-5.7345424,-123.15454,-200,45,-200,45,-200,45
114500000,-5.7525434,-123.99916,-200,45,-200,45,-200,45
114562500,-5.7723656,-124.85957,-200,45,-200,45,-200,45
114625000,-5.7907801,-125.69085,-200,45,-200,45,-200,45
114687500,-5.8096986,-126.54146,-200,45,-200,45,-200,45
114750000,-5.832499,-127.38352,-200,45,-200,45,-200,45
114812500,-5.8539896,-128.21329,-200,45,-200,45,-200,45
114875000,-5.8775959,-129.04436,-200,45,-200,45,-200,45
114937500,-5.8991666,-129.89374,-200,45,-200,45,-200,45
115000000,-5.9229488,-130.73378,-200,45,-200,45,-200,45
115062500,-5.9468088,-131.56326,-200,45,-200,45,-200,45
115125000,-5.9722552,-132.3868,-200,45,-200,45,-200,45
115187500,-5.9986477,-133.23798,-200,45,-200,45,-200,45
115250000,-6.0251651,-134.08357,-200,45,-200,45,-200,45
115312500,-6.0554991,-134.96066,-200,45,-200,45,-200,45
115375000,-6.0844913,-135.81081,-200,45,-200,45,-200,45
115437500,-6.1163344,-136.65804,-200,45,-200,45,-200,45
115500000,-6.1497173,-137.53645,-200,45,-200,45,-200,45
115562500,-6.1877322,-138.37965,-200,45,-200,45,-200,45
115625000,-6.2263699,-139.22855,-200,45,-200,45,-200,45
115687500,-6.2655935,-140.08443,-200,45,-200,45,-200,45
115750000,-6.3081899,-140.91487,-200,45,-200,45,-200,45
115812500,-6.3550005,-141.74828,-200,45,-200,45,-200,45
115875000,-6.4024653,-142.57581,-200,45,-200,45,-200,45
115937500,-6.4496179,-143.38258,-200,45,-200,45,-200,45
116000000,-6.5016322,-144.18158,-200,45,-200,45,-200,45
116062500,-6.5510097,-144.96082,-200,45,-200,45,-200,45
116125000,-6.603693,-145.71877,-200,45,-200,45,-200,45
116187500,-6.6565166,-146.46033,-200,45,-200,45,-200,45
116250000,-6.7044802,-147.16231,-200,45,-200,45,-200,45
116312500,-6.7546158,-147.89275,-200,45,-200,45,-200,45
116375000,-6.8001556,-148.60051,-200,45,-200,45,-200,45
116437500,-6.8436513,-149.29207,-200,45,-200,45,-200,45
116500000,-6.8869772,-149.97484,-200,45,-200,45,-200,45
116562500,-6.9251108,-150.67903,-200,45,-200,45,-200,45
116625000,-6.960845,-151.39491,-200,45,-200,45,-200,45
116687500,-6.9989843,-152.11021,-200,45,-200,45,-200,45
116750000,-7.0324321,-152.88644,-200,45,-200,45,-200,45
116812500,-7.0682402,-153.63638,-200,45,-200,45,-200,45
116875000,-7.1044197,-154.42126,-200,45,-200,45,-200,45
116937500,-7.1410208,-155.24327,-200,45,-200,45,-200,45
117000000,-7.1786003,-156.05904,-200,45,-200,45,-200,45
117062500,-7.2201524,-156.90302,-200,45,-200,45,-200,45
117125000,-7.2646313,-157.75995,-200,45,-200,45,-200,45
117187500,-7.312243,-158.63568,-200,45,-200,45,-200,45
117250000,-7.3614359,-159.5174,-200,45,-200,45,-200,45
117312500,-7.41537,-160.40416,-200,45,-200,45,-200,45
117375000,-7.4730964,-161.30486,-200,45,-200,45,-200,45
117437500,-7.5327001,-162.22708,-200,45,-200,45,-200,45
117500000,-7.5962062,-163.15573,-200,45,-200,45,-200,45
117562500,-7.6662946,-164.07846,-200,45,-200,45,-200,45
117625000,-7.7423139,-165.02867,-200,45,-200,45,-200,45
117687500,-7.8225183,-165.95473,-200,45,-200,45,-200,45
117750000,-7.9111848,-166.91389,-200,45,-200,45,-200,45
117812500,-8.0078306,-167.83908,-200,45,-200,45,-200,45
117875000,-8.1116486,-168.77541,-200,45,-200,45,-200,45
117937500,-8.2228804,-169.66844,-200,45,-200,45,-200,45
118000000,-8.3402834,-170.5022,-200,45,-200,45,-200,45
118062500,-8.4648151,-171.32156,-200,45,-200,45,-200,45
118125000,-8.5987539,-172.08711,-200,45,-200,45,-200,45
118187500,-8.7289438,-172.78481,-200,45,-200,45,-200,45
118250000,-8.866209,-173.44591,-200,45,-200,45,-200,45
118312500,-9.0039063,-174.0554,-200,45,-200,45,-200,45
118375000,-9.1417503,-174.59924,-200,45,-200,45,-200,45
118437500,-9.2798128,-175.11934,-200,45,-200,45,-200,45
118500000,-9.4135008,-175.60356,-200,45,-200,45,-200,45
118562500,-9.5502701,-176.04099,-200,45,-200,45,-200,45
118625000,-9.6845016,-176.47211,-200,45,-200,45,-200,45
118687500,-9.8192205,-176.85913,-200,45,-200,45,-200,45
118750000,-9.9573679,-177.20737,-200,45,-200,45,-200,45
118812500,-10.096892,-177.54172,-200,45,-200,45,-200,45
118875000,-10.239371,-177.8223,-200,45,-200,45,-200,45
118937500,-10.38278,-178.07796,-200,45,-200,45,-200,45
119000000,-10.529981,-178.26678,-200,45,-200,45,-200,45
119062500,-10.674411,-178.3958,-200,45,-200,45,-200,45
119125000,-10.823358,-178.44104,-200,45,-200,45,-200,45
119187500,-10.969705,-178.42474,-200,45,-200,45,-200,45
119250000,-11.108363,-178.29659,-200,45,-200,45,-200,45
119312500,-11.236286,-178.11246,-200,45,-200,45,-200,45
119375000,-11.358047,-177.89986,-200,45,-200,45,-200,45
119437500,-11.472465,-177.64384,-200,45,-200,45,-200,45
119500000,-11.579296,-177.37543,-200,45,-200,45,-200,45
119562500,-11.682431,-177.00693,-200,45,-200,45,-200,45
119625000,-11.773627,-176.64728,-200,45,-200,45,-200,45
119687500,-11.856758,-176.24113,-200,45,-200,45,-200,45
119750000,-11.930849,-175.79274,-200,45,-200,45,-200,45
119812500,-11.991269,-175.32767,-200,45,-200,45,-200,45
119875000,-12.047186,-174.85526,-200,45,-200,45,-200,45
119937500,-12.08742,-174.36845,-200,45,-200,45,-200,45
120000000,-12.119255,-173.89507,-200,45,-200,45,-200,45
120062500,-12.143779,-173.39522,-200,45,-200,45,-200,45
120125000,-12.150909,-172.92854,-200,45,-200,45,-200,45
120187500,-12.157783,-172.4996,-200,45,-200,45,-200,45
120250000,-12.15173,-172.09254,-200,45,-200,45,-200,45
120312500,-12.142006,-171.68114,-200,45,-200,45,-200,45
120375000,-12.132778,-171.34837,-200,45,-200,45,-200,45
120437500,-12.109007,-170.9938,-200,45,-200,45,-200,45
120500000,-12.083654,-170.64931,-200,45,-200,45,-200,45
120562500,-12.057708,-170.31178,-200,45,-200,45,-200,45
120625000,-12.022068,-169.95024,-200,45,-200,45,-200,45
120687500,-11.976967,-169.60789,-200,45,-200,45,-200,45
120750000,-11.919182,-169.25464,-200,45,-200,45,-200,45
120812500,-11.857862,-168.96901,-200,45,-200,45,-200,45
120875000,-11.778569,-168.71188,-200,45,-200,45,-200,45
120937500,-11.697746,-168.4971,-200,45,-200,45,-200,45
121000000,-11.60536,-168.32776,-200,45,-200,45,-200,45
121062500,-11.507565,-168.25748,-200,45,-200,45,-200,45
121125000,-11.411011,-168.24046,-200,45,-200,45,-200,45
121187500,-11.310647,-168.2755,-200,45,-200,45,-200,45
121250000,-11.212239,-168.38335,-200,45,-200,45,-200,45
121312500,-11.114114,-168.54912,-200,45,-200,45,-200,45
121375000,-11.019206,-168.73145,-200,45,-200,45,-200,45
121437500,-10.923293,-168.95262,-200,45,-200,45,-200,45
121500000,-10.833124,-169.19038,-200,45,-200,45,-200,45
121562500,-10.742446,-169.44827,-200,45,-200,45,-200,45
121625000,-10.650937,-169.701,-200,45,-200,45,-200,45
121687500,-10.556552,-169.95924,-200,45,-200,45,-200,45
121750000,-10.459398,-170.27989,-200,45,-200,45,-200,45
121812500,-10.357221,-170.58894,-200,45,-200,45,-200,45
121875000,-10.252942,-170.942,-200,45,-200,45,-200,45
121937500,-10.146223,-171.34032,-200,45,-200,45,-200,45
122000000,-10.036108,-171.77014,-200,45,-200,45,-200,45
122062500,-9.9289932,-172.25702,-200,45,-200,45,-200,45
122125000,-9.8216171,-172.80836,-200,45,-200,45,-200,45
122187500,-9.7152824,-173.39462,-200,45,-200,45,-200,45
122250000,-9.6157427,-174.00606,-200,45,-200,45,-200,45
122312500,-9.5168409,-174.68179,-200,45,-200,45,-200,45
122375000,-9.4230938,-175.35674,-200,45,-200,45,-200,45
122437500,-9.3326378,-176.02315,-200,45,-200,45,-200,45
122500000,-9.2452679,-176.73015,-200,45,-200,45,-200,45
122562500,-9.1607904,-177.42767,-200,45,-200,45,-200,45
122625000,-9.0742512,-178.14793,-200,45,-200,45,-200,45
122687500,-8.9881992,-178.86835,-200,45,-200,45,-200,45
122750000,-8.9055395,-179.59651,-200,45,-200,45,-200,45
122812500,-8.8202162,179.65582,-200,45,-200,45,-200,45
122875000,-8.7352839,178.90317,-200,45,-200,45,-200,45
122937500,-8.6502457,178.10985,-200,45,-200,45,-200,45
123000000,-8.567174,177.29787,-200,45,-200,45,-200,45
123062500,-8.4816856,176.4881,-200,45,-200,45,-200,45
123125000,-8.40306,175.63943,-200,45,-200,45,-200,45
123187500,-8.3230095,174.76192,-200,45,-200,45,-200,45
123250000,-8.2456665,173.88133,-200,45,-200,45,-200,45
123312500,-8.1672935,172.97484,-200,45,-200,45,-200,45
123375000,-8.0951529,172.04646,-200,45,-200,45,-200,45
123437500,-8.0232115,171.12479,-200,45,-200,45,-200,45
123500000,-7.95085,170.17029,-200,45,-200,45,-200,45
123562500,-7.8834658,169.21458,-200,45,-200,45,-200,45
123625000,-7.8180804,168.21617,-200,45,-200,45,-200,45
123687500,-7.7535582,167.23079,-200,45,-200,45,-200,45
123750000,-7.6910419,166.21701,-200,45,-200,45,-200,45
123812500,-7.6311293,165.21681,-200,45,-200,45,-200,45
123875000,-7.5751042,164.17485,-200,45,-200,45,-200,45
123937500,-7.5215731,163.15323,-200,45,-200,45,-200,45
124000000,-7.4692216,162.10918,-200,45,-200,45,-200,45
124062500,-7.4211574,161.08716,-200,45,-200,45,-200,45
124125000,-7.3750758,160.04791,-200,45,-200,45,-200,45
124187500,-7.3289471,159.01208,-200,45,-200,45,-200,45
124250000,-7.2850733,157.97942,-200,45,-200,45,-200,45
124312500,-7.2422419,156.93384,-200,45,-200,45,-200,45
124375000,-7.2013545,155.90552,-200,45,-200,45,-200,45
124437500,-7.1617422,154.8765,-200,45,-200,45,-200,45
124500000,-7.1203585,153.8414,-200,45,-200,45,-200,45
124562500,-7.0815663,152.80286,-200,45,-200,45,-200,45
124625000,-7.0431061,151.75543,-200,45,-200,45,-200,45
124687500,-7.0058885,150.69402,-200,45,-200,45,-200,45
124750000,-6.9689198,149.65849,-200,45,-200,45,-200,45
124812500,-6.9315796,148.59625,-200,45,-200,45,-200,45
124875000,-6.8981533,147.53764,-200,45,-200,45,-200,45
124937500,-6.8619866,146.46738,-200,45,-200,45,-200,45
125000000,-6.8309011,145.38408,-200,45,-200,45,-200,45
125062500,-6.7990294,144.2953,-200,45,-200,45,-200,45
125125000,-6.770638,143.21233,-200,45,-200,45,-200,45
125187500,-6.7418771,142.11348,-200,45,-200,45,-200,45
125250000,-6.7150865,141.00824,-200,45,-200,45,-200,45
125312500,-6.6911054,139.90749,-200,45,-200,45,-200,45
125375000,-6.6670418,138.81427,-200,45,-200,45,-200,45
125437500,-6.6475801,137.70456,-200,45,-200,45,-200,45
125500000,-6.6281037,136.59924,-200,45,-200,45,-200,45
125562500,-6.6104507,135.52448,-200,45,-200,45,-200,45
125625000,-6.5936203,134.41707,-200,45,-200,45,-200,45
125687500,-6.5779533,133.33389,-200,45,-200,45,-200,45
125750000,-6.5624313,132.25937,-200,45,-200,45,-200,45
125812500,-6.549799,131.17816,-200,45,-200,45,-200,45
125875000,-6.5356932,130.12234,-200,45,-200,45,-200,45
125937500,-6.5226207,129.05472,-200,45,-200,45,-200,45
126000000,-6.5099263,127.98686,-200,45,-200,45,-200,45
126062500,-6.497416,126.92143,-200,45,-200,45,-200,45
126125000,-6.4894304,125.86708,-200,45,-200,45,-200,45
126187500,-6.4755011,124.82278,-200,45,-200,45,-200,45
126250000,-6.4644213,123.77702,-200,45,-200,45,-200,45
126312500,-6.4564075,122.73189,-200,45,-200,45,-200,45
126375000,-6.443212,121.67839,-200,45,-200,45,-200,45
126437500,-6.4303627,120.64127,-200,45,-200,45,-200,45
126500000,-6.4221601,119.61254,-200,45,-200,45,-200,45
