Freq,S11_MAG,S11_PHASE,S21_MAG,S21_PHASE,S12_MAG,S12_PHASE,22_MAG,S22_PHASE
100000000,-0.28922638,-103.01966,-200,45,-200,45,-200,45
100062500,-0.28746805,-103.08572,-200,45,-200,45,-200,45
100125000,-0.28857303,-103.16302,-200,45,-200,45,-200,45
100187500,-0.28936437,-103.20674,-200,45,-200,45,-200,45
100250000,-0.28753033,-103.25488,-200,45,-200,45,-200,45
100312500,-0.28896043,-103.33141,-200,45,-200,45,-200,45
100375000,-0.29112968,-103.38043,-200,45,-200,45,-200,45
100437500,-0.28886613,-103.44478,-200,45,-200,45,-200,45
100500000,-0.28883734,-103.50591,-200,45,-200,45,-200,45
100562500,-0.29104465,-103.57065,-200,45,-200,45,-200,45
100625000,-0.29043493,-103.62924,-200,45,-200,45,-200,45
100687500,-0.29030213,-103.70266,-200,45,-200,45,-200,45
100750000,-0.29174033,-103.74968,-200,45,-200,45,-200,45
100812500,-0.29198387,-103.82982,-200,45,-200,45,-200,45
100875000,-0.29139346,-103.86975,-200,45,-200,45,-200,45
100937500,-0.2914466,-103.93081,-200,45,-200,45,-200,45
101000000,-0.29187667,-103.99591,-200,45,-200,45,-200,45
101062500,-0.29056832,-104.0613,-200,45,-200,45,-200,45
101125000,-0.29091355,-104.11864,-200,45,-200,45,-200,45
101187500,-0.29417971,-104.17756,-200,45,-200,45,-200,45
101250000,-0.29310811,-104.24208,-200,45,-200,45,-200,45
101312500,-0.2925708,-104.30074,-200,45,-200,45,-200,45
101375000,-0.29335624,-104.37057,-200,45,-200,45,-200,45
101437500,-0.29215416,-104.43079,-200,45,-200,45,-200,45
101500000,-0.29359975,-104.48614,-200,45,-200,45,-200,45
101562500,-0.292712,-104.54445,-200,45,-200,45,-200,45
101625000,-0.29385751,-104.61983,-200,45,-200,45,-200,45
101687500,-0.29431176,-104.66828,-200,45,-200,45,-200,45
101750000,-0.29400381,-104.74104,-200,45,-200,45,-200,45
101812500,-0.29607809,-104.79359,-200,45,-200,45,-200,45
101875000,-0.29508379,-104.85626,-200,45,-200,45,-200,45
101937500,-0.29696611,-104.91357,-200,45,-200,45,-200,45
102000000,-0.29478139,-104.99661,-200,45,-200,45,-200,45
102062500,-0.29465732,-105.04717,-200,45,-200,45,-200,45
102125000,-0.29567075,-105.0994,-200,45,-200,45,-200,45
102187500,-0.29677433,-105.16077,-200,45,-200,45,-200,45
102250000,-0.29600862,-105.21117,-200,45,-200,45,-200,45
102312500,-0.29793879,-105.28992,-200,45,-200,45,-200,45
102375000,-0.29761967,-105.34074,-200,45,-200,45,-200,45
102437500,-0.29675457,-105.41086,-200,45,-200,45,-200,45
102500000,-0.29780298,-105.48785,-200,45,-200,45,-200,45
102562500,-0.29790935,-105.53267,-200,45,-200,45,-200,45
102625000,-0.29778153,-105.60597,-200,45,-200,45,-200,45
102687500,-0.29965559,-105.65542,-200,45,-200,45,-200,45
102750000,-0.29945433,-105.72446,-200,45,-200,45,-200,45
102812500,-0.30108973,-105.78491,-200,45,-200,45,-200,45
102875000,-0.30086821,-105.85921,-200,45,-200,45,-200,45
102937500,-0.30066368,-105.92318,-200,45,-200,45,-200,45
103000000,-0.30228433,-105.97867,-200,45,-200,45,-200,45
103062500,-0.30291402,-106.03437,-200,45,-200,45,-200,45
103125000,-0.30216289,-106.10335,-200,45,-200,45,-200,45
103187500,-0.30296463,-106.16398,-200,45,-200,45,-200,45
103250000,-0.30414259,-106.21061,-200,45,-200,45,-200,45
103312500,-0.30554861,-106.28303,-200,45,-200,45,-200,45
103375000,-0.30413896,-106.34086,-200,45,-200,45,-200,45
103437500,-0.30274317,-106.4145,-200,45,-200,45,-200,45
103500000,-0.30669159,-106.48525,-200,45,-200,45,-200,45
103562500,-0.30571762,-106.53205,-200,45,-200,45,-200,45
103625000,-0.30674294,-106.60844,-200,45,-200,45,-200,45
103687500,-0.30614001,-106.66164,-200,45,-200,45,-200,45
103750000,-0.30572346,-106.7214,-200,45,-200,45,-200,45
103812500,-0.30632564,-106.7974,-200,45,-200,45,-200,45
103875000,-0.30876833,-106.84549,-200,45,-200,45,-200,45
103937500,-0.3074908,-106.89835,-200,45,-200,45,-200,45
104000000,-0.30899563,-106.96599,-200,45,-200,45,-200,45
104062500,-0.30911723,-107.03016,-200,45,-200,45,-200,45
104125000,-0.30857626,-107.08348,-200,45,-200,45,-200,45
104187500,-0.30735147,-107.17115,-200,45,-200,45,-200,45
104250000,-0.31009522,-107.22035,-200,45,-200,45,-200,45
104312500,-0.30933478,-107.28143,-200,45,-200,45,-200,45
104375000,-0.30966696,-107.35283,-200,45,-200,45,-200,45
104437500,-0.31103364,-107.41693,-200,45,-200,45,-200,45
104500000,-0.30986372,-107.47633,-200,45,-200,45,-200,45
104562500,-0.31105316,-107.52589,-200,45,-200,45,-200,45
104625000,-0.31068999,-107.60049,-200,45,-200,45,-200,45
104687500,-0.3121224,-107.66533,-200,45,-200,45,-200,45
104750000,-0.3116473,-107.73439,-200,45,-200,45,-200,45
104812500,-0.31324914,-107.79111,-200,45,-200,45,-200,45
104875000,-0.31504405,-107.86427,-200,45,-200,45,-200,45
104937500,-0.31237146,-107.91109,-200,45,-200,45,-200,45
105000000,-0.31388783,-107.98093,-200,45,-200,45,-200,45
105062500,-0.31315178,-108.05225,-200,45,-200,45,-200,45
105125000,-0.31469166,-108.10816,-200,45,-200,45,-200,45
105187500,-0.31506124,-108.17303,-200,45,-200,45,-200,45
105250000,-0.31724676,-108.24089,-200,45,-200,45,-200,45
105312500,-0.31781062,-108.3017,-200,45,-200,45,-200,45
105375000,-0.3162989,-108.36782,-200,45,-200,45,-200,45
105437500,-0.31788939,-108.43429,-200,45,-200,45,-200,45
105500000,-0.31747326,-108.49226,-200,45,-200,45,-200,45
105562500,-0.3185412,-108.56036,-200,45,-200,45,-200,45
105625000,-0.31829369,-108.62313,-200,45,-200,45,-200,45
105687500,-0.31959909,-108.68418,-200,45,-200,45,-200,45
105750000,-0.31961054,-108.74536,-200,45,-200,45,-200,45
105812500,-0.32035962,-108.81847,-200,45,-200,45,-200,45
105875000,-0.32018968,-108.87823,-200,45,-200,45,-200,45
105937500,-0.31975245,-108.95086,-200,45,-200,45,-200,45
106000000,-0.32045946,-108.99718,-200,45,-200,45,-200,45
106062500,-0.32282144,-109.07735,-200,45,-200,45,-200,45
106125000,-0.32272819,-109.14549,-200,45,-200,45,-200,45
106187500,-0.32292169,-109.1998,-200,45,-200,45,-200,45
106250000,-0.32337734,-109.26358,-200,45,-200,45,-200,45
106312500,-0.32447493,-109.32429,-200,45,-200,45,-200,45
106375000,-0.32402158,-109.39382,-200,45,-200,45,-200,45
106437500,-0.32568327,-109.45798,-200,45,-200,45,-200,45
106500000,-0.32328513,-109.52979,-200,45,-200,45,-200,45
106562500,-0.32740057,-109.59013,-200,45,-200,45,-200,45
106625000,-0.32628834,-109.65346,-200,45,-200,45,-200,45
106687500,-0.3270731,-109.73872,-200,45,-200,45,-200,45
106750000,-0.32778904,-109.78382,-200,45,-200,45,-200,45
106812500,-0.32964337,-109.85659,-200,45,-200,45,-200,45
106875000,-0.33082977,-109.92464,-200,45,-200,45,-200,45
106937500,-0.33007568,-109.98512,-200,45,-200,45,-200,45
107000000,-0.32988864,-110.03948,-200,45,-200,45,-200,45
107062500,-0.3323552,-110.10827,-200,45,-200,45,-200,45
107125000,-0.33174884,-110.18488,-200,45,-200,45,-200,45
107187500,-0.33188227,-110.23945,-200,45,-200,45,-200,45
107250000,-0.33270243,-110.31503,-200,45,-200,45,-200,45
107312500,-0.33418846,-110.36634,-200,45,-200,45,-200,45
107375000,-0.33483776,-110.44435,-200,45,-200,45,-200,45
107437500,-0.33509204,-110.49718,-200,45,-200,45,-200,45
107500000,-0.33622167,-110.57283,-200,45,-200,45,-200,45
107562500,-0.3372626,-110.63162,-200,45,-200,45,-200,45
107625000,-0.33660036,-110.70215,-200,45,-200,45,-200,45
107687500,-0.33748043,-110.76469,-200,45,-200,45,-200,45
107750000,-0.33880496,-110.83533,-200,45,-200,45,-200,45
107812500,-0.34046581,-110.89582,-200,45,-200,45,-200,45
107875000,-0.34060585,-110.97229,-200,45,-200,45,-200,45
107937500,-0.33998355,-111.04221,-200,45,-200,45,-200,45
108000000,-0.3416664,-111.09681,-200,45,-200,45,-200,45
108062500,-0.34283292,-111.167,-200,45,-200,45,-200,45
108125000,-0.34392184,-111.23165,-200,45,-200,45,-200,45
108187500,-0.34429342,-111.29272,-200,45,-200,45,-200,45
108250000,-0.34621659,-111.36627,-200,45,-200,45,-200,45
108312500,-0.34459054,-111.43166,-200,45,-200,45,-200,45
108375000,-0.34795359,-111.50266,-200,45,-200,45,-200,45
108437500,-0.34968421,-111.55646,-200,45,-200,45,-200,45
108500000,-0.34786904,-111.62814,-200,45,-200,45,-200,45
108562500,-0.35026535,-111.69967,-200,45,-200,45,-200,45
108625000,-0.34999952,-111.75468,-200,45,-200,45,-200,45
108687500,-0.35254657,-111.81925,-200,45,-200,45,-200,45
108750000,-0.35151455,-111.89854,-200,45,-200,45,-200,45
108812500,-0.35439309,-111.96465,-200,45,-200,45,-200,45
108875000,-0.35456106,-112.02744,-200,45,-200,45,-200,45
108937500,-0.35481304,-112.08586,-200,45,-200,45,-200,45
109000000,-0.3563441,-112.15877,-200,45,-200,45,-200,45
109062500,-0.35840455,-112.21962,-200,45,-200,45,-200,45
109125000,-0.35844192,-112.27171,-200,45,-200,45,-200,45
109187500,-0.35828581,-112.35088,-200,45,-200,45,-200,45
109250000,-0.35996252,-112.40961,-200,45,-200,45,-200,45
109312500,-0.36001474,-112.47597,-200,45,-200,45,-200,45
109375000,-0.36286688,-112.54938,-200,45,-200,45,-200,45
109437500,-0.36253464,-112.60104,-200,45,-200,45,-200,45
109500000,-0.36251307,-112.671,-200,45,-200,45,-200,45
109562500,-0.36269689,-112.73546,-200,45,-200,45,-200,45
109625000,-0.36582404,-112.80597,-200,45,-200,45,-200,45
109687500,-0.36614144,-112.86588,-200,45,-200,45,-200,45
109750000,-0.36698514,-112.9435,-200,45,-200,45,-200,45
109812500,-0.36596397,-112.98941,-200,45,-200,45,-200,45
109875000,-0.36808455,-113.06227,-200,45,-200,45,-200,45
109937500,-0.36924541,-113.13251,-200,45,-200,45,-200,45
110000000,-0.36805516,-113.19071,-200,45,-200,45,-200,45
110062500,-0.37196359,-113.25237,-200,45,-200,45,-200,45
110125000,-0.37193102,-113.31954,-200,45,-200,45,-200,45
110187500,-0.37233585,-113.38262,-200,45,-200,45,-200,45
110250000,-0.37247163,-113.45425,-200,45,-200,45,-200,45
110312500,-0.37182811,-113.51797,-200,45,-200,45,-200,45
110375000,-0.37387115,-113.58213,-200,45,-200,45,-200,45
110437500,-0.37555787,-113.63953,-200,45,-200,45,-200,45
110500000,-0.37647066,-113.71982,-200,45,-200,45,-200,45
110562500,-0.37758213,-113.78419,-200,45,-200,45,-200,45
110625000,-0.37800062,-113.85393,-200,45,-200,45,-200,45
110687500,-0.37792149,-113.92775,-200,45,-200,45,-200,45
110750000,-0.37936473,-113.97675,-200,45,-200,45,-200,45
110812500,-0.3793546,-114.04823,-200,45,-200,45,-200,45
110875000,-0.3785882,-114.11704,-200,45,-200,45,-200,45
110937500,-0.38037512,-114.17006,-200,45,-200,45,-200,45
111000000,-0.38109946,-114.25376,-200,45,-200,45,-200,45
111062500,-0.37950808,-114.32498,-200,45,-200,45,-200,45
111125000,-0.38212469,-114.38602,-200,45,-200,45,-200,45
111187500,-0.38268784,-114.46664,-200,45,-200,45,-200,45
111250000,-0.38306731,-114.52769,-200,45,-200,45,-200,45
111312500,-0.38506797,-114.59464,-200,45,-200,45,-200,45
111375000,-0.38312364,-114.6627,-200,45,-200,45,-200,45
111437500,-0.38416722,-114.73516,-200,45,-200,45,-200,45
111500000,-0.3858304,-114.79214,-200,45,-200,45,-200,45
111562500,-0.38561475,-114.85646,-200,45,-200,45,-200,45
111625000,-0.38890457,-114.93396,-200,45,-200,45,-200,45
111687500,-0.38922322,-114.99856,-200,45,-200,45,-200,45
111750000,-0.39171293,-115.07112,-200,45,-200,45,-200,45
111812500,-0.39251566,-115.13281,-200,45,-200,45,-200,45
111875000,-0.3911646,-115.21075,-200,45,-200,45,-200,45
111937500,-0.3927646,-115.2822,-200,45,-200,45,-200,45
112000000,-0.39500892,-115.35577,-200,45,-200,45,-200,45
